dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,54,0.341,0.341,2.972,47,0.373,0.373,6.856,21.647
dataset_1,54,0.341,0.341,2.989,47,0.373,0.373,6.856,21.2174
dataset_2,54,0.357,0.357,3.132,47,0.39,0.39,6.856,21.1484
dataset_3,56,0.349,0.349,3.442,49,0.38,0.38,7.0,21.3938
dataset_4,55,0.337,0.337,3.136,48,0.368,0.368,6.928,21.9381
dataset_5,54,0.357,0.357,3.138,47,0.39,0.39,6.856,21.6776
dataset_6,55,0.353,0.353,3.288,48,0.385,0.385,6.928,21.8044
dataset_7,54,0.341,0.341,2.969,47,0.373,0.373,6.856,21.1904
dataset_8,54,0.341,0.341,2.972,47,0.373,0.373,6.856,21.1379
dataset_9,54,0.357,0.357,3.132,47,0.39,0.39,6.856,21.1186
Overall Average,54.4000 ± 0.6992,0.3474 ± 0.0080,0.3474 ± 0.0080,3.1170 ± 0.1551,47.4000 ± 0.6992,0.3795 ± 0.0086,0.3795 ± 0.0086,6.8848 ± 0.0503,21.4274
