dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,70,0.639,0.639,1.403,55,0.69,0.678,7.55,1.3855
dataset_1,80,0.588,0.588,1.658,60,0.671,0.647,8.0,1.3103
dataset_2,73,0.624,0.614,1.454,58,0.667,0.655,7.746,1.3205
dataset_3,81,0.607,0.597,1.59,68,0.636,0.614,8.485,1.2599
dataset_4,77,0.584,0.584,1.601,64,0.655,0.619,8.367,1.2548
dataset_5,68,0.63,0.63,1.655,59,0.675,0.638,8.062,1.2569
dataset_6,99,0.545,0.526,1.993,69,0.634,0.623,8.426,1.3239
dataset_7,60,0.659,0.659,1.469,44,0.74,0.714,6.928,1.3235
dataset_8,61,0.655,0.655,1.599,49,0.73,0.692,7.416,1.2728
dataset_9,94,0.549,0.539,1.765,75,0.615,0.581,9.0,1.3308
Overall Average,76.3000 ± 12.8413,0.6080 ± 0.0407,0.6031 ± 0.0455,1.6187 ± 0.1706,60.1000 ± 9.3862,0.6713 ± 0.0403,0.6461 ± 0.0400,7.9980 ± 0.6067,1.3039
