dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,164,0.353,0.293,2.822,120,0.464,0.381,11.662,8.1936
dataset_1,177,0.392,0.278,2.882,127,0.518,0.355,12.61,7.5818
dataset_2,148,0.391,0.327,2.823,117,0.486,0.368,11.79,8.1918
dataset_3,177,0.387,0.3,2.718,133,0.454,0.357,12.369,7.4644
dataset_4,186,0.362,0.268,2.883,131,0.492,0.342,12.689,7.2831
dataset_5,169,0.379,0.305,2.824,118,0.49,0.385,11.747,7.4552
dataset_6,169,0.371,0.287,2.788,122,0.474,0.371,11.916,7.3929
dataset_7,171,0.367,0.302,3.14,116,0.453,0.389,11.314,8.6426
dataset_8,169,0.365,0.299,2.821,129,0.462,0.338,12.369,7.5397
dataset_9,181,0.34,0.267,2.802,132,0.49,0.34,12.728,7.6679
Overall Average,171.1000 ± 10.4717,0.3707 ± 0.0169,0.2926 ± 0.0183,2.8503 ± 0.1120,124.5000 ± 6.6207,0.4783 ± 0.0206,0.3626 ± 0.0191,12.1194 ± 0.4952,7.7413
