dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,121,0.404,0.339,2.769,88,0.513,0.436,10.0,59.1791
dataset_1,118,0.444,0.344,2.807,89,0.523,0.418,10.247,54.4232
dataset_2,109,0.446,0.377,2.787,84,0.553,0.447,10.0,58.6731
dataset_3,118,0.424,0.359,2.636,88,0.526,0.436,10.1,54.6805
dataset_4,128,0.417,0.333,2.792,98,0.506,0.41,10.677,53.9768
dataset_5,125,0.429,0.346,2.773,96,0.512,0.415,10.583,53.8576
dataset_6,123,0.422,0.335,2.713,94,0.512,0.412,10.488,53.5453
dataset_7,120,0.426,0.362,3.065,92,0.5,0.425,10.198,60.6804
dataset_8,113,0.431,0.376,2.731,93,0.497,0.422,10.247,55.0389
dataset_9,121,0.426,0.339,2.737,95,0.541,0.403,10.817,55.9821
Overall Average,119.6000 ± 5.5418,0.4269 ± 0.0122,0.3510 ± 0.0164,2.7810 ± 0.1114,91.7000 ± 4.3474,0.5183 ± 0.0178,0.4224 ± 0.0137,10.3357 ± 0.2883,56.0037
