dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,36,0.667,0.667,1.795,31,0.713,0.693,5.745,7.2547
dataset_1,38,0.667,0.667,1.746,29,0.724,0.724,5.385,7.1338
dataset_2,47,0.605,0.605,1.996,34,0.709,0.691,6.0,7.0889
dataset_3,33,0.713,0.713,1.685,25,0.766,0.766,5.0,6.8825
dataset_4,42,0.644,0.644,1.849,31,0.734,0.716,5.745,6.8931
dataset_5,40,0.694,0.677,1.868,30,0.75,0.732,5.657,6.7975
dataset_6,43,0.613,0.613,2.184,35,0.66,0.66,5.916,6.7935
dataset_7,40,0.643,0.643,1.924,30,0.712,0.712,5.477,6.7999
dataset_8,34,0.712,0.712,1.631,29,0.757,0.739,5.568,6.7399
dataset_9,31,0.739,0.739,1.617,25,0.789,0.771,5.196,6.7843
Overall Average,38.4000 ± 4.9710,0.6697 ± 0.0445,0.6680 ± 0.0438,1.8295 ± 0.1757,29.9000 ± 3.2472,0.7314 ± 0.0364,0.7204 ± 0.0341,5.5689 ± 0.3129,6.9168
