dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,55,0.376,0.353,3.359,48,0.41,0.385,7.071,21.8706
dataset_1,58,0.444,0.356,4.191,51,0.506,0.386,7.81,21.922
dataset_2,52,0.444,0.422,3.609,43,0.506,0.482,6.708,21.7454
dataset_3,56,0.333,0.333,3.244,47,0.39,0.39,6.856,21.6246
dataset_4,51,0.437,0.414,3.354,44,0.475,0.45,6.782,21.6386
dataset_5,57,0.36,0.36,3.766,48,0.463,0.415,7.211,21.7455
dataset_6,57,0.391,0.345,3.785,48,0.45,0.4,7.211,21.7223
dataset_7,55,0.427,0.382,3.839,46,0.512,0.439,7.211,21.702
dataset_8,56,0.372,0.349,3.515,47,0.43,0.405,7.0,21.6989
dataset_9,54,0.372,0.372,3.249,47,0.43,0.405,7.0,21.6712
Overall Average,55.1000 ± 2.2336,0.3956 ± 0.0396,0.3686 ± 0.0294,3.5911 ± 0.3061,46.9000 ± 2.2336,0.4572 ± 0.0427,0.4157 ± 0.0318,7.0860 ± 0.3117,21.7341
