dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,86,0.547,0.547,1.869,61,0.659,0.635,8.062,1.3009
dataset_1,81,0.552,0.552,1.692,64,0.625,0.6,8.246,1.4215
dataset_2,94,0.516,0.505,1.98,74,0.605,0.57,8.944,1.3061
dataset_3,74,0.584,0.584,1.474,52,0.675,0.675,7.211,1.2732
dataset_4,94,0.505,0.495,2.11,69,0.623,0.587,8.66,1.336
dataset_5,80,0.567,0.556,1.915,59,0.662,0.624,8.062,1.3417
dataset_6,85,0.525,0.525,2.257,64,0.654,0.605,8.485,1.2634
dataset_7,84,0.562,0.562,2.03,67,0.655,0.608,8.66,1.305
dataset_8,84,0.565,0.543,1.946,64,0.646,0.61,8.367,1.3221
dataset_9,83,0.573,0.551,1.654,61,0.642,0.63,7.937,1.3592
Overall Average,84.5000 ± 6.0415,0.5496 ± 0.0262,0.5420 ± 0.0267,1.8927 ± 0.2316,63.5000 ± 5.9489,0.6446 ± 0.0212,0.6144 ± 0.0289,8.2634 ± 0.4868,1.3229
