dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,176,0.333,0.267,2.931,129,0.482,0.325,12.61,7.7666
dataset_1,195,0.384,0.28,3.051,137,0.488,0.344,12.923,8.1191
dataset_2,158,0.407,0.301,2.84,116,0.511,0.37,11.916,8.3246
dataset_3,183,0.359,0.271,2.97,126,0.495,0.364,12.329,7.2823
dataset_4,160,0.414,0.31,2.841,118,0.538,0.366,12.247,7.6517
dataset_5,161,0.372,0.303,2.888,121,0.513,0.353,12.288,7.3713
dataset_6,178,0.4,0.288,2.899,117,0.538,0.406,11.958,7.7503
dataset_7,166,0.381,0.297,2.923,128,0.459,0.347,12.247,7.9506
dataset_8,179,0.372,0.292,2.937,128,0.5,0.36,12.49,7.6743
dataset_9,153,0.368,0.314,2.79,112,0.5,0.378,11.576,8.098
Overall Average,170.9000 ± 13.3204,0.3790 ± 0.0241,0.2923 ± 0.0158,2.9070 ± 0.0741,123.2000 ± 7.6420,0.5024 ± 0.0243,0.3613 ± 0.0218,12.2584 ± 0.3798,7.7989
