dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,115,0.418,0.35,2.845,90,0.519,0.416,10.296,56.0583
dataset_1,133,0.4,0.318,2.959,103,0.503,0.383,11.091,54.0441
dataset_2,124,0.424,0.326,2.783,100,0.494,0.383,10.863,57.4179
dataset_3,118,0.424,0.359,2.861,91,0.528,0.428,10.344,54.2004
dataset_4,109,0.444,0.363,2.757,87,0.577,0.416,10.536,56.9869
dataset_5,108,0.429,0.357,2.834,85,0.503,0.422,9.849,53.5621
dataset_6,109,0.451,0.37,2.784,87,0.556,0.424,10.344,55.4041
dataset_7,118,0.433,0.344,2.852,98,0.494,0.38,10.77,55.5356
dataset_8,133,0.408,0.338,2.867,104,0.512,0.381,11.225,53.6844
dataset_9,110,0.438,0.382,2.724,83,0.543,0.45,9.849,56.5063
Overall Average,117.7000 ± 9.5458,0.4269 ± 0.0157,0.3507 ± 0.0197,2.8266 ± 0.0671,92.8000 ± 7.7717,0.5229 ± 0.0280,0.4083 ± 0.0247,10.5167 ± 0.4733,55.3400
