dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,31,0.73,0.73,1.608,23,0.8,0.781,5.0,6.7742
dataset_1,32,0.758,0.742,1.367,25,0.793,0.775,5.196,6.9555
dataset_2,39,0.661,0.661,1.636,30,0.717,0.717,5.477,6.7446
dataset_3,25,0.8,0.8,1.196,15,0.867,0.867,3.873,6.7172
dataset_4,34,0.707,0.707,1.447,26,0.755,0.755,5.099,6.7042
dataset_5,31,0.739,0.739,1.463,21,0.804,0.804,4.583,6.7451
dataset_6,31,0.752,0.752,1.353,21,0.814,0.814,4.583,6.7724
dataset_7,27,0.777,0.777,1.404,23,0.814,0.796,5.0,6.7454
dataset_8,31,0.763,0.763,1.127,22,0.814,0.814,4.69,6.7196
dataset_9,29,0.748,0.748,1.46,23,0.8,0.781,5.0,6.7573
Overall Average,31.0000 ± 3.8006,0.7435 ± 0.0385,0.7419 ± 0.0382,1.4061 ± 0.1591,22.9000 ± 3.8715,0.7978 ± 0.0395,0.7904 ± 0.0398,4.8501 ± 0.4429,6.7636
