dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,58,0.372,0.326,3.729,49,0.43,0.38,7.28,21.4879
dataset_1,58,0.409,0.341,4.024,51,0.469,0.37,7.681,21.1466
dataset_2,58,0.349,0.326,3.662,49,0.405,0.38,7.141,21.0572
dataset_3,54,0.4,0.4,3.647,45,0.458,0.458,6.708,21.0359
dataset_4,56,0.4,0.378,3.802,47,0.482,0.434,7.141,21.1087
dataset_5,59,0.473,0.366,4.601,50,0.512,0.419,7.616,21.0355
dataset_6,58,0.326,0.326,3.588,49,0.38,0.38,7.0,21.042
dataset_7,54,0.395,0.372,3.407,45,0.456,0.43,6.856,21.1018
dataset_8,54,0.457,0.413,3.933,45,0.518,0.471,7.0,21.1114
dataset_9,61,0.382,0.315,4.271,50,0.439,0.39,7.348,21.0982
Overall Average,57.0000 ± 2.4037,0.3963 ± 0.0444,0.3563 ± 0.0344,3.8664 ± 0.3550,48.0000 ± 2.3094,0.4549 ± 0.0437,0.4112 ± 0.0362,7.1771 ± 0.3118,21.1225
