dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,76,0.593,0.582,1.429,62,0.675,0.612,8.485,1.3149
dataset_1,83,0.58,0.57,1.389,67,0.647,0.599,8.66,1.4486
dataset_2,77,0.581,0.57,1.615,68,0.625,0.575,8.718,1.285
dataset_3,54,0.682,0.682,1.117,42,0.737,0.724,6.633,1.3147
dataset_4,75,0.605,0.595,1.327,60,0.671,0.634,8.124,1.286
dataset_5,71,0.615,0.603,1.362,62,0.65,0.612,8.246,1.2798
dataset_6,83,0.561,0.561,1.279,71,0.613,0.59,8.66,1.2907
dataset_7,55,0.671,0.671,1.157,44,0.753,0.699,7.211,1.2735
dataset_8,63,0.636,0.636,1.212,46,0.705,0.705,6.782,1.2791
dataset_9,63,0.648,0.648,1.204,54,0.696,0.658,7.746,1.2839
Overall Average,70.0000 ± 10.6875,0.6172 ± 0.0408,0.6118 ± 0.0443,1.3091 ± 0.1486,57.6000 ± 10.5219,0.6772 ± 0.0459,0.6408 ± 0.0528,7.9265 ± 0.7946,1.3056
