dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,166,0.364,0.297,3.015,122,0.495,0.371,12.083,7.9302
dataset_1,172,0.372,0.289,2.843,129,0.482,0.352,12.45,8.1502
dataset_2,184,0.336,0.264,3.087,134,0.465,0.323,12.728,7.7352
dataset_3,159,0.359,0.287,2.769,119,0.497,0.343,12.124,8.0151
dataset_4,159,0.388,0.3,2.858,119,0.519,0.357,12.207,7.6556
dataset_5,178,0.36,0.288,2.778,113,0.53,0.389,11.79,8.1255
dataset_6,171,0.36,0.285,2.822,130,0.474,0.33,12.57,7.4338
dataset_7,175,0.354,0.28,2.812,129,0.518,0.345,12.767,7.7552
dataset_8,170,0.364,0.298,2.985,129,0.488,0.358,12.45,7.5265
dataset_9,176,0.361,0.261,2.835,132,0.474,0.305,12.806,7.9133
Overall Average,171.0000 ± 7.9861,0.3618 ± 0.0131,0.2849 ± 0.0134,2.8804 ± 0.1089,125.6000 ± 6.8670,0.4942 ± 0.0219,0.3473 ± 0.0241,12.3975 ± 0.3378,7.8241
