dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,111,0.421,0.351,2.936,89,0.503,0.411,10.149,57.9869
dataset_1,114,0.461,0.36,2.794,88,0.558,0.429,10.392,56.4335
dataset_2,119,0.398,0.343,2.999,91,0.516,0.428,10.247,54.7911
dataset_3,108,0.41,0.349,2.712,86,0.514,0.403,10.1,56.2549
dataset_4,115,0.407,0.35,2.776,91,0.49,0.413,10.149,52.6728
dataset_5,120,0.43,0.355,2.702,92,0.526,0.41,10.488,57.1932
dataset_6,110,0.419,0.36,2.717,86,0.527,0.419,10.1,54.695
dataset_7,109,0.433,0.363,2.729,83,0.57,0.45,10.05,56.2958
dataset_8,119,0.402,0.335,2.909,93,0.484,0.408,10.247,54.3845
dataset_9,115,0.446,0.343,2.758,85,0.571,0.422,10.344,54.7619
Overall Average,114.0000 ± 4.3970,0.4227 ± 0.0201,0.3509 ± 0.0089,2.8032 ± 0.1062,88.4000 ± 3.3400,0.5259 ± 0.0313,0.4193 ± 0.0138,10.2266 ± 0.1436,55.5470
