dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,54,0.698,0.686,1.281,40,0.763,0.737,6.633,1.282
dataset_1,54,0.698,0.686,1.197,44,0.74,0.714,6.928,1.3173
dataset_2,64,0.652,0.64,1.185,53,0.688,0.662,7.55,1.2675
dataset_3,76,0.6,0.6,1.194,65,0.647,0.624,8.307,1.2666
dataset_4,68,0.633,0.622,1.402,56,0.688,0.65,7.874,1.2701
dataset_5,59,0.651,0.651,1.282,48,0.697,0.684,7.071,1.2556
dataset_6,68,0.618,0.618,1.189,57,0.675,0.65,7.81,1.2578
dataset_7,57,0.671,0.659,1.229,46,0.72,0.693,7.071,1.2471
dataset_8,53,0.698,0.686,1.293,38,0.77,0.743,6.481,1.2585
dataset_9,84,0.565,0.543,1.84,66,0.638,0.588,8.602,1.2593
Overall Average,63.7000 ± 10.3821,0.6484 ± 0.0452,0.6391 ± 0.0455,1.3092 ± 0.1984,51.3000 ± 9.7644,0.7026 ± 0.0452,0.6745 ± 0.0494,7.4327 ± 0.7106,1.2682
