dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,29,0.797,0.782,1.39,17,0.857,0.857,4.123,6.8504
dataset_1,30,0.763,0.746,1.272,24,0.796,0.778,5.099,6.8681
dataset_2,20,0.839,0.839,1.195,15,0.883,0.865,4.123,6.8272
dataset_3,27,0.8,0.8,1.153,19,0.862,0.846,4.583,7.5192
dataset_4,34,0.726,0.726,1.398,25,0.779,0.779,5.0,6.8852
dataset_5,27,0.777,0.777,1.289,22,0.804,0.804,4.69,6.7343
dataset_6,30,0.754,0.754,1.219,22,0.8,0.8,4.69,6.7374
dataset_7,35,0.696,0.696,1.581,27,0.748,0.748,5.196,6.763
dataset_8,33,0.748,0.748,1.35,22,0.828,0.81,4.899,6.7606
dataset_9,32,0.729,0.729,1.395,26,0.759,0.759,5.099,6.7596
Overall Average,29.7000 ± 4.3729,0.7629 ± 0.0419,0.7597 ± 0.0411,1.3242 ± 0.1258,21.9000 ± 3.9001,0.8116 ± 0.0451,0.8046 ± 0.0406,4.7502 ± 0.3871,6.8705
