dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,59,0.44,0.352,4.368,52,0.5,0.381,7.874,21.434
dataset_1,55,0.376,0.353,3.428,48,0.41,0.385,7.071,21.2203
dataset_2,56,0.372,0.349,3.616,49,0.405,0.38,7.141,21.1761
dataset_3,54,0.435,0.413,3.908,45,0.494,0.471,6.856,21.1839
dataset_4,59,0.427,0.337,4.188,50,0.463,0.39,7.483,21.1874
dataset_5,55,0.414,0.368,3.606,48,0.45,0.4,7.211,21.5504
dataset_6,58,0.4,0.356,4.034,47,0.458,0.434,7.0,21.149
dataset_7,56,0.381,0.333,3.459,49,0.416,0.364,7.28,20.9559
dataset_8,58,0.364,0.341,3.815,49,0.42,0.395,7.141,20.9277
dataset_9,55,0.337,0.337,3.095,46,0.395,0.395,6.782,20.9962
Overall Average,56.5000 ± 1.8409,0.3946 ± 0.0341,0.3539 ± 0.0233,3.7517 ± 0.3858,48.3000 ± 2.0028,0.4411 ± 0.0374,0.3995 ± 0.0310,7.1839 ± 0.3153,21.1781
