dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,56,0.349,0.349,3.396,47,0.405,0.405,6.856,22.1485
dataset_1,56,0.381,0.333,3.368,49,0.416,0.364,7.28,21.1899
dataset_2,57,0.404,0.36,3.923,46,0.463,0.439,6.928,21.1564
dataset_3,57,0.337,0.313,3.334,48,0.395,0.368,7.071,21.5678
dataset_4,57,0.296,0.296,3.086,50,0.324,0.324,7.071,21.2166
dataset_5,59,0.313,0.289,3.464,50,0.368,0.342,7.211,21.1489
dataset_6,52,0.381,0.381,2.992,45,0.416,0.416,6.708,21.1194
dataset_7,57,0.353,0.329,3.635,50,0.385,0.359,7.211,21.562
dataset_8,56,0.386,0.364,3.712,47,0.444,0.42,7.0,22.1303
dataset_9,59,0.368,0.322,3.912,50,0.425,0.375,7.348,21.9547
Overall Average,56.6000 ± 1.9551,0.3568 ± 0.0341,0.3336 ± 0.0300,3.4822 ± 0.3154,48.2000 ± 1.8738,0.4041 ± 0.0394,0.3812 ± 0.0372,7.0684 ± 0.2008,21.5194
