dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,178,0.37,0.299,2.844,132,0.48,0.353,12.57,8.2773
dataset_1,164,0.408,0.317,2.792,113,0.544,0.421,11.705,7.2767
dataset_2,181,0.351,0.279,3.033,127,0.472,0.362,12.207,7.3351
dataset_3,169,0.382,0.299,2.924,120,0.5,0.375,12.0,8.0233
dataset_4,167,0.357,0.289,2.815,123,0.492,0.356,12.207,7.0432
dataset_5,174,0.389,0.31,3.021,132,0.49,0.34,12.728,6.8128
dataset_6,158,0.379,0.319,2.731,114,0.5,0.394,11.576,7.8436
dataset_7,174,0.344,0.287,2.909,135,0.468,0.328,12.767,7.568
dataset_8,155,0.396,0.317,2.777,115,0.487,0.392,11.533,7.5859
dataset_9,161,0.388,0.321,2.904,120,0.495,0.381,11.916,8.1632
Overall Average,168.1000 ± 8.6724,0.3764 ± 0.0206,0.3037 ± 0.0152,2.8750 ± 0.1014,123.1000 ± 8.0616,0.4928 ± 0.0210,0.3702 ± 0.0279,12.1209 ± 0.4564,7.5929
