dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,123,0.393,0.328,2.758,96,0.487,0.4,10.488,54.9697
dataset_1,123,0.417,0.342,2.73,84,0.551,0.462,9.899,54.6918
dataset_2,120,0.413,0.348,2.936,90,0.532,0.43,10.296,56.0456
dataset_3,123,0.434,0.349,2.858,95,0.528,0.403,10.724,58.4544
dataset_4,116,0.42,0.341,2.751,88,0.513,0.421,10.1,50.5448
dataset_5,108,0.477,0.372,2.952,87,0.544,0.408,10.344,49.8995
dataset_6,112,0.443,0.364,2.694,86,0.553,0.434,10.198,54.7266
dataset_7,135,0.369,0.308,2.879,107,0.503,0.359,11.446,56.502
dataset_8,106,0.453,0.384,2.72,85,0.517,0.437,9.849,55.8358
dataset_9,126,0.411,0.337,2.876,95,0.516,0.403,10.63,57.886
Overall Average,119.2000 ± 8.8292,0.4230 ± 0.0306,0.3473 ± 0.0219,2.8154 ± 0.0950,91.3000 ± 7.0561,0.5244 ± 0.0213,0.4157 ± 0.0279,10.3974 ± 0.4666,54.9556
