dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,30,0.75,0.75,1.483,22,0.8,0.8,4.69,6.7898
dataset_1,33,0.718,0.718,1.509,24,0.778,0.778,4.899,6.7631
dataset_2,28,0.803,0.788,1.342,19,0.84,0.84,4.359,6.7715
dataset_3,27,0.787,0.787,1.414,20,0.842,0.825,4.69,6.7448
dataset_4,29,0.76,0.76,1.425,21,0.826,0.807,4.796,6.7597
dataset_5,38,0.689,0.689,1.492,30,0.727,0.727,5.477,6.7638
dataset_6,30,0.754,0.754,1.329,22,0.8,0.8,4.69,6.7693
dataset_7,21,0.835,0.835,1.192,14,0.879,0.879,3.742,6.7582
dataset_8,27,0.765,0.765,1.419,23,0.804,0.785,5.0,6.7006
dataset_9,29,0.784,0.768,1.332,23,0.814,0.796,5.0,6.7339
Overall Average,29.2000 ± 4.3665,0.7645 ± 0.0416,0.7614 ± 0.0396,1.3937 ± 0.0968,21.8000 ± 4.0497,0.8110 ± 0.0410,0.8037 ± 0.0400,4.7343 ± 0.4540,6.7555
