dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,74,0.593,0.593,1.422,55,0.663,0.663,7.416,1.2693
dataset_1,58,0.667,0.667,1.241,48,0.696,0.696,6.928,1.3021
dataset_2,74,0.632,0.611,1.362,63,0.675,0.627,8.426,1.2563
dataset_3,65,0.651,0.629,1.382,47,0.71,0.697,7.0,1.2598
dataset_4,53,0.675,0.675,1.271,43,0.721,0.707,6.708,1.2571
dataset_5,77,0.579,0.579,1.403,69,0.618,0.582,8.66,1.2534
dataset_6,66,0.637,0.637,1.255,56,0.687,0.663,7.746,1.2488
dataset_7,60,0.67,0.67,1.544,49,0.699,0.699,7.0,1.2544
dataset_8,57,0.675,0.65,1.367,42,0.736,0.708,6.782,1.2582
dataset_9,62,0.655,0.644,1.181,49,0.719,0.68,7.416,1.2444
Overall Average,64.6000 ± 8.1404,0.6434 ± 0.0338,0.6355 ± 0.0328,1.3428 ± 0.1066,52.1000 ± 8.6596,0.6924 ± 0.0342,0.6722 ± 0.0406,7.4082 ± 0.6801,1.2604
