dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,19,0.571,0.457,1.018,10,0.857,0.643,4.0,0.7233
dataset_1,20,0.556,0.444,1.051,10,0.733,0.667,3.464,0.7518
dataset_2,16,0.647,0.529,0.967,10,0.786,0.643,3.742,0.8869
dataset_3,17,0.552,0.414,1.064,12,0.769,0.538,4.243,0.7481
dataset_4,23,0.513,0.41,1.12,15,0.727,0.545,4.583,0.7058
dataset_5,18,0.529,0.471,1.036,11,0.69,0.621,3.606,0.5953
dataset_6,21,0.514,0.4,1.331,15,0.645,0.516,4.359,0.7955
dataset_7,20,0.556,0.444,1.157,12,0.733,0.6,4.0,0.6916
dataset_8,21,0.541,0.432,1.119,16,0.706,0.529,4.69,0.5898
dataset_9,21,0.457,0.4,1.181,11,0.69,0.621,3.606,0.6237
Overall Average,19.6000 ± 2.1187,0.5436 ± 0.0487,0.4401 ± 0.0395,1.1044 ± 0.1032,12.2000 ± 2.2998,0.7336 ± 0.0593,0.5923 ± 0.0552,4.0293 ± 0.4294,0.7112
