dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.2318
dataset_1,10,0.6,0.5,1.852,9,0.632,0.526,3.317,4.2519
dataset_2,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.3608
dataset_3,11,0.353,0.353,1.294,10,0.375,0.375,3.162,4.4548
dataset_4,8,0.6,0.6,1.446,7,0.632,0.632,2.646,4.3442
dataset_5,10,0.444,0.444,1.441,9,0.471,0.471,3.0,4.199
dataset_6,10,0.6,0.5,1.884,9,0.632,0.526,3.317,4.1742
dataset_7,8,0.6,0.6,1.446,7,0.632,0.632,2.646,4.1824
dataset_8,10,0.6,0.5,1.86,9,0.632,0.526,3.317,4.236
dataset_9,11,0.526,0.421,1.828,10,0.556,0.444,3.464,4.3917
Overall Average,9.6000 ± 1.0750,0.5375 ± 0.0835,0.4970 ± 0.0762,1.5761 ± 0.2460,8.6000 ± 1.0750,0.5674 ± 0.0866,0.5244 ± 0.0794,3.0525 ± 0.3028,4.2827
