dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,5,0.828,0.828,0.496,7,0.88,0.72,3.317,0.1447
dataset_1,4,0.867,0.867,0.602,4,0.857,0.857,2.0,0.1452
dataset_2,4,0.857,0.857,0.551,3,0.889,0.889,1.732,0.1408
dataset_3,6,0.769,0.769,0.67,3,0.96,0.88,2.236,0.1396
dataset_4,11,0.667,0.667,0.492,12,0.733,0.6,4.0,0.1439
dataset_5,4,0.867,0.867,0.525,4,0.857,0.857,2.0,0.1436
dataset_6,8,0.733,0.733,0.685,5,0.828,0.828,2.236,0.1418
dataset_7,6,0.824,0.824,0.662,7,0.839,0.774,3.0,0.1451
dataset_8,10,0.706,0.706,0.633,13,0.774,0.581,4.359,0.1907
dataset_9,6,0.8,0.8,0.549,5,0.815,0.815,2.236,0.1434
Overall Average,6.4000 ± 2.5033,0.7918 ± 0.0706,0.7918 ± 0.0706,0.5865 ± 0.0733,6.3000 ± 3.5606,0.8432 ± 0.0628,0.7801 ± 0.1120,2.7116 ± 0.9113,0.1479
