dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,3.325,245,0.408,0.286,6.7212
dataset_1,3.246,233,0.409,0.309,6.5703
dataset_2,3.225,231,0.427,0.315,7.1509
dataset_3,3.262,225,0.433,0.303,6.7108
dataset_4,3.138,222,0.41,0.311,6.6465
dataset_5,3.275,236,0.412,0.306,6.2711
dataset_6,3.168,216,0.419,0.325,6.5238
dataset_7,3.244,218,0.435,0.323,6.6389
dataset_8,3.166,210,0.418,0.335,7.3595
dataset_9,3.145,216,0.406,0.325,6.3356
Overall Average,3.219 ± 0.062,225.20 ± 10.88,0.418 ± 0.011,0.314 ± 0.014,6.6929 ± 0.3349
