dataset,SHD,F1,F1_directed,Frobenius,runtime
dataset_0,16,0.588,0.529,1.007,1.3189
dataset_1,19,0.615,0.513,1.131,1.089
dataset_2,26,0.545,0.409,0.993,1.0535
dataset_3,21,0.564,0.462,1.013,1.2928
dataset_4,20,0.632,0.474,1.005,0.9369
dataset_5,23,0.486,0.378,1.239,1.6586
dataset_6,24,0.571,0.429,0.976,1.1163
dataset_7,23,0.486,0.378,1.284,1.3497
dataset_8,29,0.533,0.356,1.082,1.2478
dataset_9,15,0.667,0.545,0.98,0.9579
Overall Average,21.60 ± 4.33,0.569 ± 0.059,0.447 ± 0.068,1.071 ± 0.112,1.2021
