dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,14,0.625,0.563,1.004,9,0.741,0.667,3.317,6.5153
dataset_1,14,0.625,0.563,1.098,10,0.714,0.643,3.464,6.0785
dataset_2,18,0.611,0.5,0.966,12,0.733,0.6,4.0,5.6891
dataset_3,18,0.588,0.471,1.008,12,0.714,0.571,4.0,6.3026
dataset_4,14,0.667,0.533,0.986,9,0.815,0.667,3.606,4.8103
dataset_5,18,0.533,0.4,1.232,12,0.714,0.571,4.0,7.944
dataset_6,16,0.588,0.529,0.926,11,0.69,0.621,3.606,6.169
dataset_7,19,0.545,0.424,1.278,12,0.714,0.571,4.0,7.0189
dataset_8,23,0.541,0.378,1.074,16,0.688,0.5,4.69,6.9384
dataset_9,14,0.625,0.563,0.956,9,0.741,0.667,3.317,5.2156
Overall Average,16.8000 ± 2.9740,0.5948 ± 0.0441,0.4924 ± 0.0705,1.0528 ± 0.1189,11.2000 ± 2.1499,0.7264 ± 0.0361,0.6078 ± 0.0554,3.8000 ± 0.4225,6.2682
