dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,463,0.413,0.297,4.535,303,0.617,0.405,20.273,11.7014
dataset_1,450,0.424,0.303,4.487,305,0.619,0.391,20.469,12.2102
dataset_2,466,0.427,0.309,4.604,305,0.616,0.394,20.421,12.3132
dataset_3,455,0.442,0.32,4.576,298,0.625,0.411,20.149,12.375
dataset_4,433,0.457,0.327,4.441,277,0.61,0.44,19.0,11.5224
dataset_5,455,0.456,0.303,4.556,300,0.624,0.4,20.298,12.1279
dataset_6,464,0.425,0.305,4.65,298,0.606,0.406,19.95,11.6029
dataset_7,486,0.413,0.287,4.698,312,0.611,0.393,20.591,11.9622
dataset_8,499,0.416,0.294,4.774,315,0.606,0.4,20.567,11.9967
dataset_9,471,0.404,0.285,4.629,297,0.602,0.4,19.925,12.6947
Overall Average,464.2000 ± 18.5041,0.4277 ± 0.0183,0.3030 ± 0.0133,4.5950 ± 0.0988,301.0000 ± 10.3494,0.6136 ± 0.0078,0.4040 ± 0.0141,20.1643 ± 0.4704,12.0507
