dataset,SHD,F1,F1_directed,Frobenius,runtime
dataset_0,210,0.32,0.286,3.886,113.9234
dataset_1,214,0.283,0.262,4.008,118.0122
dataset_2,216,0.356,0.337,4.063,117.9226
dataset_3,221,0.343,0.324,3.908,118.8139
dataset_4,210,0.324,0.291,3.972,113.0966
dataset_5,209,0.352,0.319,3.887,113.2797
dataset_6,217,0.357,0.32,3.979,111.1634
dataset_7,214,0.359,0.314,3.97,110.3147
dataset_8,218,0.377,0.347,4.124,110.2713
dataset_9,224,0.325,0.3,4.079,118.9575
Overall Average,215.30 ± 4.92,0.340 ± 0.027,0.310 ± 0.025,3.988 ± 0.082,114.5755
