dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,181,0.262,0.21,5.546,158,0.288,0.24,12.961,22.3401
dataset_1,181,0.245,0.21,5.459,160,0.288,0.231,13.115,21.1641
dataset_2,179,0.266,0.232,5.547,158,0.311,0.255,13.038,20.9585
dataset_3,179,0.222,0.204,4.991,158,0.265,0.225,12.884,20.9457
dataset_4,179,0.215,0.197,4.853,156,0.248,0.228,12.649,20.9206
dataset_5,187,0.22,0.176,5.54,164,0.252,0.204,13.191,20.9691
dataset_6,189,0.138,0.129,4.757,168,0.173,0.143,13.191,21.0416
dataset_7,176,0.246,0.228,5.181,159,0.271,0.232,12.923,21.0461
dataset_8,181,0.251,0.216,5.51,158,0.286,0.248,12.884,20.9776
dataset_9,182,0.212,0.195,5.16,159,0.254,0.224,12.845,22.8079
Overall Average,181.4000 ± 3.8930,0.2277 ± 0.0371,0.1997 ± 0.0297,5.2544 ± 0.3076,159.8000 ± 3.5528,0.2636 ± 0.0375,0.2230 ± 0.0314,12.9681 ± 0.1697,21.3171
