dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,143,0.686,0.682,1.95,109,0.767,0.721,11.269,2.0036
dataset_1,160,0.674,0.669,1.801,124,0.742,0.703,11.832,2.0065
dataset_2,146,0.69,0.681,2.034,106,0.76,0.73,10.863,2.0626
dataset_3,160,0.668,0.664,1.918,116,0.74,0.71,11.314,2.0775
dataset_4,192,0.633,0.608,2.242,139,0.73,0.668,12.845,2.0853
dataset_5,172,0.647,0.634,2.105,134,0.717,0.662,12.49,1.9342
dataset_6,171,0.657,0.649,2.04,123,0.745,0.701,11.874,2.0818
dataset_7,153,0.682,0.674,1.858,112,0.769,0.719,11.489,2.0765
dataset_8,167,0.657,0.653,2.009,132,0.73,0.676,12.41,2.0685
dataset_9,156,0.658,0.644,1.994,117,0.742,0.695,11.619,2.0643
Overall Average,162.0000 ± 14.3295,0.6652 ± 0.0182,0.6558 ± 0.0232,1.9951 ± 0.1253,121.2000 ± 11.1435,0.7442 ± 0.0169,0.6985 ± 0.0232,11.8005 ± 0.6211,2.0461
