dataset,SHD,F1,F1_directed,Frobenius,runtime
dataset_0,179,0.625,0.598,2.645,267.4341
dataset_1,156,0.67,0.652,2.119,304.7937
dataset_2,164,0.644,0.626,2.179,299.432
dataset_3,190,0.588,0.58,2.391,351.1246
dataset_4,177,0.642,0.621,2.208,291.8569
dataset_5,174,0.633,0.615,2.324,246.9602
dataset_6,167,0.677,0.638,2.232,334.4241
dataset_7,190,0.6,0.587,2.492,393.682
dataset_8,176,0.63,0.612,2.352,399.0103
dataset_9,182,0.611,0.597,2.49,290.7051
Overall Average,175.50 ± 10.88,0.632 ± 0.028,0.613 ± 0.023,2.343 ± 0.165,317.9423
