dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,1.998,123,0.693,0.693,13.6406
dataset_1,2.367,146,0.64,0.64,13.4621
dataset_2,2.416,148,0.638,0.628,13.6516
dataset_3,2.131,134,0.658,0.658,13.4986
dataset_4,2.312,143,0.641,0.636,13.4785
dataset_5,2.362,147,0.643,0.633,13.411
dataset_6,2.064,139,0.657,0.657,13.479
dataset_7,2.369,156,0.621,0.606,13.6085
dataset_8,1.934,136,0.681,0.676,13.5784
dataset_9,2.065,138,0.673,0.668,13.5488
Overall Average,2.202 ± 0.181,141.00 ± 9.13,0.655 ± 0.022,0.649 ± 0.026,13.5357 ± 0.0820
