dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,1.12,16,0.429,0.429,0.3245
dataset_1,1.142,16,0.429,0.429,0.2907
dataset_2,1.031,15,0.444,0.444,0.3006
dataset_3,1.163,15,0.444,0.444,0.3234
dataset_4,1.046,13,0.48,0.48,0.3155
dataset_5,1.117,18,0.5,0.438,0.3582
dataset_6,1.09,16,0.467,0.467,0.2717
dataset_7,1.173,13,0.48,0.48,0.3519
dataset_8,0.97,11,0.522,0.522,0.2963
dataset_9,1.474,16,0.571,0.429,0.3474
Overall Average,1.133 ± 0.136,14.90 ± 2.02,0.477 ± 0.045,0.456 ± 0.031,0.3180 ± 0.0286
