dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,5,0.8,0.8,0.641,4,0.833,0.833,2.0,0.3507
dataset_1,3,0.88,0.88,0.587,2,0.917,0.917,1.414,0.3911
dataset_2,6,0.75,0.75,0.574,5,0.783,0.783,2.236,0.3455
dataset_3,9,0.571,0.571,0.811,8,0.6,0.6,2.828,0.3904
dataset_4,8,0.636,0.636,0.796,5,0.762,0.762,2.236,0.3456
dataset_5,6,0.727,0.727,0.715,5,0.762,0.762,2.236,0.3446
dataset_6,6,0.75,0.75,0.633,5,0.783,0.783,2.236,0.3427
dataset_7,5,0.783,0.783,0.726,4,0.818,0.818,2.0,0.3369
dataset_8,6,0.727,0.727,0.675,5,0.762,0.762,2.236,0.3426
dataset_9,5,0.8,0.8,0.509,3,0.87,0.87,1.732,0.3416
Overall Average,5.9000 ± 1.6633,0.7424 ± 0.0872,0.7424 ± 0.0872,0.6667 ± 0.0972,4.6000 ± 1.5776,0.7890 ± 0.0841,0.7890 ± 0.0841,2.1154 ± 0.3721,0.3532
