dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.607,9,0.71,0.71,1.0622
dataset_1,0.629,8,0.733,0.733,1.0726
dataset_2,0.784,6,0.769,0.769,1.0503
dataset_3,0.656,7,0.759,0.759,1.0807
dataset_4,0.543,5,0.815,0.815,1.0599
dataset_5,0.518,8,0.714,0.714,1.0756
dataset_6,0.747,10,0.615,0.615,1.0568
dataset_7,1.463,9,0.667,0.667,1.072
dataset_8,0.609,8,0.769,0.692,1.0457
dataset_9,1.175,11,0.667,0.667,1.0905
Overall Average,0.773 ± 0.306,8.10 ± 1.79,0.722 ± 0.060,0.714 ± 0.058,1.0666 ± 0.0141
