dataset,SHD,F1,F1_directed,Frobenius,runtime
dataset_0,1696,0.223,0.165,6.666,76.6209
dataset_1,1742,0.225,0.158,6.909,78.1679
dataset_2,1702,0.222,0.173,6.863,88.2655
dataset_3,1851,0.222,0.16,7.035,81.8072
dataset_4,1715,0.231,0.169,6.73,85.0091
dataset_5,1814,0.223,0.156,7.264,78.1349
dataset_6,1790,0.223,0.16,7.145,77.4245
dataset_7,1686,0.217,0.161,6.644,79.0455
dataset_8,1629,0.237,0.175,6.581,81.8625
dataset_9,1778,0.226,0.164,7.285,76.1335
Overall Average,1740.30 ± 67.48,0.225 ± 0.006,0.164 ± 0.006,6.912 ± 0.260,80.2472
