dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,1014,0.275,0.229,6.259,859,0.361,0.273,31.032,533.8485
dataset_1,1044,0.267,0.217,6.516,875,0.356,0.262,31.417,525.9357
dataset_2,973,0.28,0.234,6.426,821,0.361,0.278,30.249,588.7027
dataset_3,1033,0.273,0.224,6.549,863,0.355,0.274,30.968,527.652
dataset_4,924,0.284,0.243,6.209,798,0.351,0.282,29.563,573.2421
dataset_5,1066,0.267,0.215,6.811,881,0.376,0.268,31.796,544.2767
dataset_6,1060,0.269,0.216,6.717,895,0.36,0.261,31.859,541.3855
dataset_7,945,0.273,0.229,6.178,804,0.351,0.273,29.833,588.6508
dataset_8,900,0.302,0.25,6.125,762,0.38,0.294,29.223,564.0783
dataset_9,1078,0.267,0.218,6.862,897,0.354,0.271,31.607,541.3734
Overall Average,1003.7000 ± 63.8175,0.2757 ± 0.0109,0.2275 ± 0.0120,6.4652 ± 0.2704,845.5000 ± 46.2751,0.3605 ± 0.0100,0.2736 ± 0.0097,30.7547 ± 0.9697,552.9146
