dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,241,0.663,0.66,2.899,213,0.689,0.684,14.731,110.3347
dataset_1,254,0.637,0.631,3.144,233,0.656,0.644,15.524,109.4716
dataset_2,215,0.7,0.697,2.803,183,0.727,0.727,13.528,109.7668
dataset_3,243,0.649,0.646,3.063,217,0.677,0.671,14.866,111.2484
dataset_4,233,0.671,0.671,2.909,206,0.693,0.693,14.353,110.1473
dataset_5,242,0.65,0.65,3.068,220,0.677,0.668,15.033,109.6125
dataset_6,257,0.63,0.63,3.327,237,0.656,0.644,15.652,111.0239
dataset_7,228,0.672,0.669,3.113,206,0.696,0.687,14.56,109.5912
dataset_8,206,0.715,0.71,2.995,183,0.744,0.729,13.892,108.553
dataset_9,239,0.673,0.673,2.823,203,0.707,0.704,14.318,108.9324
Overall Average,235.8000 ± 15.9778,0.6660 ± 0.0266,0.6637 ± 0.0261,3.0144 ± 0.1618,210.1000 ± 18.1197,0.6922 ± 0.0283,0.6851 ± 0.0298,14.6457 ± 0.6673,109.8682
