dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.848,11,0.632,0.421,0.8884
dataset_1,0.646,8,0.625,0.5,0.8412
dataset_2,0.589,8,0.5,0.5,0.9265
dataset_3,0.661,9,0.4,0.4,0.9934
dataset_4,0.631,14,0.222,0.222,0.7705
dataset_5,0.639,11,0.267,0.267,0.8681
dataset_6,0.667,9,0.308,0.308,0.8551
dataset_7,0.71,11,0.4,0.267,0.9355
dataset_8,0.699,10,0.286,0.286,0.92
dataset_9,0.662,7,0.364,0.364,0.8747
dataset_10,0.692,7,0.364,0.364,0.8106
dataset_11,0.662,10,0.286,0.286,1.1195
dataset_12,0.598,6,0.571,0.571,0.833
dataset_13,0.673,7,0.364,0.364,1.0494
dataset_14,0.64,10,0.286,0.286,0.9184
dataset_15,0.651,7,0.462,0.462,0.6465
dataset_16,0.683,7,0.364,0.364,0.8766
dataset_17,0.697,7,0.364,0.364,0.9344
dataset_18,0.635,8,0.333,0.333,1.0114
dataset_19,0.659,8,0.333,0.333,0.816
Overall Average,0.667 ± 0.053,8.75 ± 2.00,0.387 ± 0.116,0.363 ± 0.091,0.8945 ± 0.1034
