dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,15,0.552,0.483,0.974,9,0.72,0.64,3.317,5.2904
dataset_1,16,0.5,0.429,1.147,12,0.615,0.538,3.742,5.6424
dataset_2,15,0.552,0.483,0.934,9,0.741,0.667,3.317,5.0967
dataset_3,14,0.6,0.533,0.928,8,0.769,0.692,3.162,4.9164
dataset_4,16,0.533,0.467,0.936,11,0.741,0.593,3.873,5.3248
dataset_5,15,0.581,0.516,0.942,10,0.714,0.643,3.464,5.1783
dataset_6,13,0.621,0.552,1.062,9,0.72,0.64,3.317,4.7312
dataset_7,17,0.571,0.514,1.02,9,0.759,0.69,3.317,5.0604
dataset_8,14,0.688,0.563,1.048,9,0.815,0.667,3.606,4.5585
dataset_9,15,0.552,0.483,0.997,10,0.692,0.615,3.464,5.6351
Overall Average,15.0000 ± 1.1547,0.5750 ± 0.0522,0.5023 ± 0.0410,0.9988 ± 0.0714,9.6000 ± 1.1738,0.7286 ± 0.0526,0.6385 ± 0.0470,3.4579 ± 0.2216,5.1434
