dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,5,0.8,0.8,0.558,4,0.833,0.833,2.0,0.7358
dataset_1,6,0.75,0.75,0.612,5,0.783,0.783,2.236,0.7746
dataset_2,6,0.769,0.769,0.619,6,0.75,0.75,2.449,0.742
dataset_3,3,0.88,0.88,0.591,3,0.87,0.87,1.732,0.7335
dataset_4,6,0.786,0.786,0.544,5,0.815,0.815,2.236,0.8055
dataset_5,4,0.857,0.857,0.551,4,0.846,0.846,2.0,0.7318
dataset_6,6,0.75,0.75,0.705,5,0.783,0.783,2.236,0.7171
dataset_7,4,0.846,0.846,0.559,4,0.833,0.833,2.0,0.7192
dataset_8,2,0.923,0.923,0.566,2,0.917,0.917,1.414,0.7238
dataset_9,3,0.88,0.88,0.425,2,0.917,0.917,1.414,0.7215
Overall Average,4.5000 ± 1.5092,0.8241 ± 0.0611,0.8241 ± 0.0611,0.5730 ± 0.0708,4.0000 ± 1.3333,0.8347 ± 0.0556,0.8347 ± 0.0556,1.9717 ± 0.3527,0.7405
