dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.714,6,0.667,0.5,2.8762
dataset_1,0.62,7,0.545,0.364,2.7419
dataset_2,0.543,6,0.4,0.4,3.1521
dataset_3,0.655,6,0.25,0.25,3.0547
dataset_4,0.567,8,0.333,0.333,2.724
dataset_5,0.773,8,0.2,0.2,2.9368
dataset_6,0.844,8,0.0,0.0,2.9255
dataset_7,0.753,7,0.222,0.222,2.8103
dataset_8,0.5,4,0.5,0.5,3.1888
dataset_9,0.79,8,0.2,0.2,2.8743
dataset_10,0.692,7,0.364,0.364,2.6759
dataset_11,0.847,8,0.0,0.0,3.6209
dataset_12,0.703,7,0.222,0.222,2.9659
dataset_13,0.723,7,0.222,0.222,3.4428
dataset_14,0.649,6,0.25,0.25,3.1959
dataset_15,0.809,8,0.2,0.2,2.2063
dataset_16,0.772,7,0.222,0.222,3.0124
dataset_17,0.654,6,0.4,0.4,2.9763
dataset_18,0.69,6,0.25,0.25,3.2977
dataset_19,0.656,7,0.364,0.364,2.7433
Overall Average,0.698 ± 0.096,6.85 ± 1.04,0.291 ± 0.163,0.273 ± 0.134,2.9711 ± 0.3057
