dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.663,10,0.783,0.783,0.1548
dataset_1,0.845,12,0.75,0.75,0.1508
dataset_2,0.688,8,0.833,0.833,0.1447
dataset_3,0.639,9,0.824,0.824,0.1471
dataset_4,0.765,9,0.816,0.816,0.1468
dataset_5,0.695,8,0.833,0.833,0.1426
dataset_6,0.603,5,0.889,0.889,0.1407
dataset_7,0.698,8,0.833,0.833,0.1434
dataset_8,0.71,9,0.809,0.809,0.1446
dataset_9,0.733,11,0.784,0.784,0.1438
Overall Average,0.704 ± 0.067,8.90 ± 1.91,0.815 ± 0.038,0.815 ± 0.038,0.1459 ± 0.0042
