dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.781,10,0.444,0.444,3.6218
dataset_1,0.638,7,0.533,0.533,3.7733
dataset_2,0.574,7,0.533,0.533,3.6824
dataset_3,0.616,7,0.364,0.364,3.5589
dataset_4,0.589,8,0.333,0.333,3.5559
dataset_5,0.62,7,0.364,0.364,3.5336
dataset_6,0.65,9,0.308,0.308,3.5507
dataset_7,0.655,7,0.364,0.364,3.5846
dataset_8,0.688,10,0.286,0.286,3.58
dataset_9,0.639,8,0.333,0.333,3.5611
dataset_10,0.673,9,0.308,0.308,3.5799
dataset_11,0.661,9,0.308,0.308,3.5596
dataset_12,0.592,8,0.333,0.333,3.5562
dataset_13,0.634,8,0.333,0.333,3.5624
dataset_14,0.619,7,0.364,0.364,3.5981
dataset_15,0.622,7,0.364,0.364,3.5737
dataset_16,0.695,9,0.308,0.308,3.5419
dataset_17,0.667,6,0.5,0.5,3.5698
dataset_18,0.648,11,0.267,0.267,3.5675
dataset_19,0.637,8,0.333,0.333,3.609
Overall Average,0.645 ± 0.045,8.10 ± 1.29,0.364 ± 0.078,0.364 ± 0.078,3.5860 ± 0.0550
