dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,72,0.609,0.609,1.246,61,0.698,0.639,8.426,0.9635
dataset_1,69,0.627,0.627,1.197,64,0.667,0.632,8.367,0.9646
dataset_2,56,0.678,0.678,1.215,47,0.724,0.712,7.0,0.9931
dataset_3,66,0.652,0.641,1.331,55,0.743,0.671,8.185,0.9627
dataset_4,57,0.671,0.671,1.222,51,0.708,0.683,7.416,0.947
dataset_5,64,0.624,0.624,1.396,51,0.704,0.679,7.416,0.9398
dataset_6,56,0.663,0.663,1.274,53,0.732,0.654,8.062,0.9431
dataset_7,69,0.631,0.631,1.249,64,0.682,0.636,8.485,0.9535
dataset_8,60,0.667,0.667,1.227,51,0.736,0.687,7.681,0.9475
dataset_9,71,0.62,0.62,1.266,62,0.663,0.652,8.0,0.9538
Overall Average,64.0000 ± 6.3246,0.6442 ± 0.0247,0.6431 ± 0.0246,1.2623 ± 0.0601,55.9000 ± 6.2796,0.7057 ± 0.0285,0.6645 ± 0.0261,7.9038 ± 0.5034,0.9569
