dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,182,0.415,0.3,2.909,135,0.565,0.354,13.379,11.29
dataset_1,228,0.32,0.24,3.105,156,0.469,0.31,13.856,12.037
dataset_2,213,0.344,0.268,2.933,153,0.516,0.32,14.036,10.7613
dataset_3,207,0.363,0.263,3.108,143,0.525,0.341,13.528,11.49
dataset_4,197,0.384,0.273,2.947,144,0.546,0.333,13.784,10.2016
dataset_5,202,0.372,0.263,2.995,147,0.53,0.316,13.892,11.4026
dataset_6,197,0.374,0.278,2.923,147,0.53,0.329,13.82,11.4879
dataset_7,197,0.38,0.294,2.991,141,0.507,0.35,13.229,11.3487
dataset_8,218,0.336,0.238,3.065,159,0.515,0.306,14.387,11.6762
dataset_9,201,0.383,0.274,2.888,151,0.52,0.323,13.964,10.3537
Overall Average,204.2000 ± 12.9340,0.3671 ± 0.0275,0.2691 ± 0.0200,2.9864 ± 0.0811,147.6000 ± 7.2908,0.5223 ± 0.0251,0.3282 ± 0.0163,13.7875 ± 0.3358,11.2049
