dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,31,0.805,0.792,1.201,24,0.853,0.824,5.292,8.7593
dataset_1,31,0.78,0.78,1.246,26,0.818,0.803,5.292,8.7353
dataset_2,30,0.786,0.786,1.156,23,0.824,0.824,4.796,8.7315
dataset_3,27,0.809,0.809,1.205,25,0.844,0.815,5.385,8.8144
dataset_4,26,0.809,0.809,1.219,21,0.837,0.837,4.583,8.4688
dataset_5,30,0.769,0.769,1.314,22,0.836,0.82,4.899,8.5818
dataset_6,27,0.797,0.797,1.293,20,0.852,0.836,4.69,8.6305
dataset_7,26,0.803,0.803,1.203,22,0.825,0.825,4.69,8.628
dataset_8,34,0.757,0.757,1.195,28,0.8,0.785,5.477,8.5728
dataset_9,28,0.791,0.791,1.245,25,0.819,0.803,5.196,8.6488
Overall Average,29.0000 ± 2.6247,0.7906 ± 0.0177,0.7893 ± 0.0170,1.2277 ± 0.0477,23.6000 ± 2.4585,0.8308 ± 0.0167,0.8172 ± 0.0162,5.0300 ± 0.3323,8.6571
