dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,141,0.428,0.344,2.859,107,0.586,0.409,11.79,75.8122
dataset_1,142,0.415,0.33,3.01,105,0.56,0.4,11.533,79.8666
dataset_2,139,0.404,0.347,2.863,111,0.564,0.387,11.958,75.1598
dataset_3,143,0.423,0.329,3.045,111,0.542,0.373,11.874,78.2524
dataset_4,143,0.461,0.341,2.906,112,0.598,0.391,12.247,69.9842
dataset_5,131,0.408,0.348,2.902,105,0.52,0.393,11.269,76.3557
dataset_6,129,0.429,0.371,2.847,109,0.547,0.391,11.705,78.3033
dataset_7,128,0.441,0.373,2.916,98,0.593,0.43,11.225,76.5979
dataset_8,150,0.389,0.306,2.995,119,0.541,0.357,12.369,81.2106
dataset_9,140,0.454,0.352,2.834,112,0.543,0.391,11.832,69.2561
Overall Average,138.6000 ± 7.0742,0.4252 ± 0.0225,0.3441 ± 0.0198,2.9177 ± 0.0742,108.9000 ± 5.6065,0.5594 ± 0.0257,0.3922 ± 0.0195,11.7802 ± 0.3718,76.0799
