dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,76,0.443,0.377,2.818,69,0.504,0.42,8.888,16.2606
dataset_1,90,0.44,0.4,2.968,76,0.557,0.457,9.487,17.041
dataset_2,83,0.421,0.376,2.9,75,0.527,0.419,9.434,16.8289
dataset_3,75,0.481,0.419,2.726,68,0.556,0.46,8.944,16.3846
dataset_4,74,0.452,0.403,2.962,65,0.521,0.454,8.544,17.3
dataset_5,79,0.416,0.368,2.77,68,0.492,0.424,8.718,16.5428
dataset_6,82,0.394,0.379,2.831,76,0.453,0.406,9.055,16.6209
dataset_7,79,0.46,0.432,2.698,67,0.55,0.489,8.66,16.4338
dataset_8,87,0.423,0.365,3.142,78,0.516,0.391,9.695,17.3785
dataset_9,76,0.476,0.397,2.978,70,0.548,0.435,9.165,16.4464
Overall Average,80.1000 ± 5.3427,0.4406 ± 0.0276,0.3916 ± 0.0223,2.8793 ± 0.1367,71.2000 ± 4.5898,0.5224 ± 0.0331,0.4355 ± 0.0294,9.0590 ± 0.3834,16.7238
