dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,32,0.719,0.719,1.378,28,0.745,0.745,5.292,3.6599
dataset_1,25,0.793,0.793,1.214,21,0.821,0.821,4.583,3.698
dataset_2,35,0.696,0.696,1.437,34,0.696,0.696,5.831,3.5987
dataset_3,30,0.77,0.754,1.364,29,0.773,0.756,5.568,3.5792
dataset_4,29,0.756,0.756,1.367,25,0.783,0.783,5.0,3.6302
dataset_5,28,0.75,0.75,1.39,25,0.771,0.771,5.0,3.6543
dataset_6,35,0.679,0.679,1.498,34,0.679,0.679,5.831,3.5997
dataset_7,34,0.696,0.696,1.505,34,0.722,0.685,6.164,3.5946
dataset_8,28,0.75,0.75,1.364,28,0.764,0.745,5.477,3.5831
dataset_9,25,0.775,0.775,1.37,23,0.789,0.789,4.796,3.6239
Overall Average,30.1000 ± 3.7845,0.7384 ± 0.0386,0.7368 ± 0.0374,1.3887 ± 0.0820,28.1000 ± 4.7246,0.7543 ± 0.0440,0.7470 ± 0.0475,5.3542 ± 0.5091,3.6222
