dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,59,0.495,0.392,4.715,57,0.505,0.4,8.185,13.9132
dataset_1,58,0.479,0.396,4.589,54,0.511,0.426,7.874,13.8207
dataset_2,55,0.462,0.396,3.96,49,0.517,0.449,7.416,13.7113
dataset_3,53,0.495,0.43,3.952,51,0.505,0.44,7.55,13.7473
dataset_4,54,0.422,0.4,3.643,52,0.432,0.409,7.348,13.6634
dataset_5,57,0.427,0.36,3.928,55,0.437,0.368,7.81,13.7271
dataset_6,55,0.414,0.368,3.524,53,0.424,0.376,7.55,13.9387
dataset_7,53,0.404,0.404,3.414,49,0.437,0.437,7.0,13.4661
dataset_8,59,0.484,0.352,4.411,57,0.494,0.36,8.307,13.3383
dataset_9,50,0.455,0.432,3.214,48,0.465,0.442,7.071,13.3154
Overall Average,55.3000 ± 2.9458,0.4537 ± 0.0346,0.3930 ± 0.0268,3.9350 ± 0.5065,52.5000 ± 3.2745,0.4727 ± 0.0374,0.4107 ± 0.0332,7.6111 ± 0.4349,13.6642
