dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,23,0.513,0.41,0.982,14,0.625,0.562,4.0,0.812
dataset_1,18,0.611,0.5,1.051,11,0.828,0.621,4.123,0.6844
dataset_2,21,0.564,0.462,1.08,11,0.788,0.667,3.873,0.718
dataset_3,16,0.667,0.556,1.108,7,0.828,0.759,3.0,0.8333
dataset_4,16,0.588,0.529,1.02,10,0.733,0.667,3.464,0.6532
dataset_5,15,0.606,0.545,0.943,11,0.69,0.621,3.606,0.7166
dataset_6,22,0.5,0.389,1.087,15,0.645,0.516,4.359,0.7412
dataset_7,17,0.606,0.485,0.918,10,0.714,0.643,3.464,0.8506
dataset_8,18,0.556,0.5,0.995,12,0.667,0.6,3.742,0.8356
dataset_9,16,0.588,0.529,1.174,10,0.786,0.643,3.742,0.7825
Overall Average,18.2000 ± 2.8206,0.5799 ± 0.0491,0.4905 ± 0.0558,1.0358 ± 0.0792,11.1000 ± 2.2336,0.7304 ± 0.0744,0.6299 ± 0.0653,3.7373 ± 0.3848,0.7627
