dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,17,0.545,0.485,0.939,11,0.69,0.621,3.606,6.0036
dataset_1,15,0.667,0.545,1.042,10,0.786,0.643,3.742,5.0987
dataset_2,18,0.5,0.438,1.039,13,0.621,0.552,3.873,5.4318
dataset_3,17,0.606,0.485,1.124,9,0.828,0.69,3.606,5.9694
dataset_4,14,0.6,0.533,1.013,9,0.741,0.667,3.317,4.9696
dataset_5,14,0.6,0.533,0.937,10,0.692,0.615,3.464,5.1936
dataset_6,20,0.5,0.375,1.099,15,0.621,0.483,4.359,5.2839
dataset_7,13,0.621,0.552,0.885,8,0.769,0.692,3.162,5.897
dataset_8,15,0.581,0.516,1.003,9,0.741,0.667,3.317,6.0849
dataset_9,17,0.545,0.485,1.19,10,0.786,0.643,3.742,5.8371
Overall Average,16.0000 ± 2.1602,0.5765 ± 0.0536,0.4947 ± 0.0548,1.0271 ± 0.0933,10.4000 ± 2.1187,0.7275 ± 0.0702,0.6273 ± 0.0654,3.6188 ± 0.3429,5.5770
