dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,5,0.8,0.8,0.656,5,0.783,0.783,2.236,0.7424
dataset_1,4,0.833,0.833,0.641,4,0.818,0.818,2.0,0.7776
dataset_2,4,0.833,0.833,0.667,4,0.818,0.818,2.0,0.7691
dataset_3,4,0.846,0.846,0.459,3,0.88,0.88,1.732,0.7241
dataset_4,4,0.846,0.846,0.573,5,0.88,0.8,2.646,0.7315
dataset_5,4,0.833,0.833,0.558,3,0.87,0.87,1.732,0.7256
dataset_6,5,0.8,0.8,0.559,2,0.917,0.917,1.414,0.7598
dataset_7,3,0.88,0.88,0.569,3,0.87,0.87,1.732,0.7218
dataset_8,4,0.833,0.833,0.563,3,0.87,0.87,1.732,0.7359
dataset_9,5,0.783,0.783,0.668,4,0.818,0.818,2.0,0.725
Overall Average,4.2000 ± 0.6325,0.8287 ± 0.0280,0.8287 ± 0.0280,0.5913 ± 0.0663,3.6000 ± 0.9661,0.8524 ± 0.0408,0.8444 ± 0.0426,1.9224 ± 0.3405,0.7413
