dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.4698
dataset_1,11,0.421,0.421,1.657,10,0.556,0.444,3.464,6.4864
dataset_2,10,0.5,0.5,1.684,9,0.526,0.526,3.0,6.412
dataset_3,10,0.444,0.444,1.401,9,0.471,0.471,3.0,6.4104
dataset_4,10,0.6,0.5,1.86,9,0.632,0.526,3.317,6.3791
dataset_5,10,0.5,0.5,1.684,9,0.632,0.526,3.317,6.4479
dataset_6,10,0.444,0.444,1.441,9,0.471,0.471,3.0,6.4185
dataset_7,11,0.571,0.476,2.133,10,0.7,0.5,3.742,6.4177
dataset_8,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3951
dataset_9,10,0.444,0.444,1.401,9,0.471,0.471,3.0,6.4302
Overall Average,10.0000 ± 0.6667,0.4976 ± 0.0596,0.4781 ± 0.0377,1.5971 ± 0.2568,9.0000 ± 0.6667,0.5571 ± 0.0781,0.5047 ± 0.0391,3.1496 ± 0.2986,6.4267
