dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,6,0.8,0.8,0.616,6,0.786,0.786,2.449,0.1458
dataset_1,7,0.759,0.759,0.659,4,0.846,0.846,2.0,0.1449
dataset_2,7,0.788,0.788,0.538,5,0.897,0.828,2.646,0.1437
dataset_3,7,0.774,0.774,0.497,6,0.8,0.8,2.449,0.1423
dataset_4,3,0.897,0.897,0.512,4,0.923,0.846,2.449,0.1438
dataset_5,8,0.733,0.733,0.573,5,0.815,0.815,2.236,0.1779
dataset_6,6,0.8,0.8,0.533,4,0.857,0.857,2.0,0.1412
dataset_7,3,0.897,0.897,0.522,1,0.963,0.963,1.0,0.1837
dataset_8,10,0.722,0.722,0.556,9,0.788,0.727,3.317,0.1475
dataset_9,5,0.828,0.828,0.582,5,0.889,0.815,2.646,0.1409
Overall Average,6.2000 ± 2.1499,0.7998 ± 0.0603,0.7998 ± 0.0603,0.5588 ± 0.0500,4.9000 ± 2.0248,0.8564 ± 0.0607,0.8283 ± 0.0604,2.3192 ± 0.5973,0.1512
