dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,31,0.588,0.392,1.879,20,0.81,0.524,5.657,0.789
dataset_1,31,0.588,0.392,1.884,19,0.829,0.537,5.568,0.8887
dataset_2,32,0.538,0.385,1.882,19,0.829,0.537,5.568,0.8823
dataset_3,30,0.577,0.423,1.759,18,0.8,0.55,5.292,0.9673
dataset_4,27,0.596,0.426,1.809,21,0.78,0.488,5.745,0.902
dataset_5,31,0.566,0.415,1.785,22,0.81,0.476,6.0,0.9907
dataset_6,29,0.571,0.408,1.703,18,0.8,0.55,5.292,0.9158
dataset_7,25,0.578,0.444,1.91,15,0.757,0.595,4.583,0.8782
dataset_8,27,0.612,0.449,1.791,19,0.829,0.537,5.568,0.7989
dataset_9,30,0.615,0.423,1.799,18,0.8,0.55,5.292,0.9739
Overall Average,29.3000 ± 2.2632,0.5829 ± 0.0226,0.4157 ± 0.0217,1.8201 ± 0.0663,18.9000 ± 1.9120,0.8044 ± 0.0230,0.5344 ± 0.0335,5.4565 ± 0.3801,0.8987
