dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,28,0.583,0.417,1.858,19,0.78,0.537,5.385,5.8407
dataset_1,24,0.636,0.455,1.863,18,0.789,0.526,5.292,6.2241
dataset_2,26,0.609,0.435,1.869,19,0.769,0.513,5.385,5.9292
dataset_3,26,0.591,0.409,1.773,16,0.789,0.579,4.899,6.2227
dataset_4,27,0.578,0.4,1.818,21,0.78,0.488,5.745,6.3313
dataset_5,26,0.609,0.435,1.786,20,0.8,0.5,5.657,6.7339
dataset_6,26,0.609,0.435,1.697,20,0.8,0.5,5.657,6.3166
dataset_7,22,0.619,0.476,1.902,13,0.8,0.629,4.359,6.3284
dataset_8,24,0.636,0.455,1.79,19,0.769,0.513,5.385,6.1833
dataset_9,28,0.625,0.417,1.806,18,0.8,0.55,5.292,6.8921
Overall Average,25.7000 ± 1.8886,0.6095 ± 0.0205,0.4334 ± 0.0236,1.8162 ± 0.0595,18.3000 ± 2.3118,0.7876 ± 0.0126,0.5335 ± 0.0431,5.3056 ± 0.4111,6.3002
