dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,4,0.882,0.882,0.682,4,0.875,0.875,2.0,0.7454
dataset_1,6,0.842,0.842,0.691,4,0.882,0.882,2.0,0.7542
dataset_2,5,0.878,0.878,0.687,2,0.944,0.944,1.414,0.7778
dataset_3,6,0.833,0.833,0.649,4,0.875,0.875,2.0,0.7353
dataset_4,3,0.919,0.919,0.708,1,0.97,0.97,1.0,0.733
dataset_5,6,0.833,0.833,0.698,4,0.875,0.875,2.0,0.7326
dataset_6,5,0.865,0.865,0.739,3,0.909,0.909,1.732,0.74
dataset_7,5,0.848,0.848,0.832,6,0.875,0.812,2.828,0.7434
dataset_8,6,0.842,0.842,0.596,4,0.882,0.882,2.0,0.7468
dataset_9,4,0.895,0.895,0.564,2,0.941,0.941,1.414,0.7374
Overall Average,5.0000 ± 1.0541,0.8637 ± 0.0292,0.8637 ± 0.0292,0.6846 ± 0.0739,3.4000 ± 1.4298,0.9028 ± 0.0360,0.8965 ± 0.0456,1.8388 ± 0.4927,0.7446
