dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,13,0.435,0.435,1.63,12,0.455,0.455,3.464,6.4307
dataset_1,13,0.56,0.48,1.977,12,0.583,0.5,3.742,6.4458
dataset_2,16,0.462,0.385,2.576,15,0.56,0.4,4.359,6.3867
dataset_3,14,0.615,0.462,2.359,13,0.64,0.48,4.123,6.3995
dataset_4,13,0.435,0.435,1.63,12,0.455,0.455,3.464,6.3289
dataset_5,14,0.5,0.417,2.153,13,0.522,0.435,3.873,6.3887
dataset_6,12,0.5,0.5,1.656,11,0.522,0.522,3.317,6.333
dataset_7,15,0.4,0.4,2.158,14,0.5,0.417,4.0,6.4021
dataset_8,14,0.417,0.417,1.912,13,0.435,0.435,3.606,6.3479
dataset_9,16,0.462,0.385,2.576,15,0.56,0.4,4.359,6.3435
Overall Average,14.0000 ± 1.3333,0.4786 ± 0.0671,0.4316 ± 0.0391,2.0627 ± 0.3654,13.0000 ± 1.3333,0.5232 ± 0.0646,0.4499 ± 0.0411,3.8307 ± 0.3749,6.3807
