dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,8,0.81,0.81,0.679,7,0.865,0.811,3.0,0.1505
dataset_1,10,0.773,0.773,0.708,9,0.865,0.757,3.606,0.1424
dataset_2,7,0.837,0.837,0.694,4,0.944,0.889,2.449,0.1459
dataset_3,4,0.9,0.9,0.575,2,0.944,0.944,1.414,0.1417
dataset_4,6,0.85,0.85,0.723,4,0.941,0.882,2.449,0.1431
dataset_5,7,0.837,0.837,0.654,5,0.872,0.872,2.236,0.1431
dataset_6,5,0.878,0.878,0.726,4,0.944,0.889,2.449,0.1418
dataset_7,6,0.857,0.857,0.665,4,0.944,0.889,2.449,0.143
dataset_8,7,0.829,0.829,0.593,4,0.889,0.889,2.0,0.1491
dataset_9,7,0.837,0.837,0.57,6,0.944,0.833,3.162,0.144
Overall Average,6.7000 ± 1.6364,0.8408 ± 0.0349,0.8408 ± 0.0349,0.6587 ± 0.0596,4.9000 ± 1.9692,0.9152 ± 0.0371,0.8655 ± 0.0522,2.5214 ± 0.6161,0.1445
